district_key,u5mr_posterior_mean,u5mr_ci_lower95,u5mr_ci_upper95,u5mr_posterior_sd,province,had_direct_data,n_births_direct,ci_width,run_mode,model_version,population_2017,remoteness_proxy,norm_mortality_risk,norm_uncertainty,norm_geographic_accessibility_proxy,norm_population,priority_score,rank,relative_uncertainty
ZHOB DISTRICT,247.62402128939576,117.88885746204332,420.2474000344176,78.38384761678957,Balochistan,True,269,302.35854257237423,normal,hazard_v1_censoring_corrected,310354,0.8471648033177386,1.0,1.0,0.8471648033177386,0.025596761229073617,0.871992636786455,1,1.2210388192469048
LORALAI DISTRICT,221.89709335239655,123.36158306428425,348.2703310587724,58.55615991713953,Balochistan,True,360,224.90874799448812,normal,hazard_v1_censoring_corrected,397423,0.7467443819313437,0.8898287714659037,0.715263982210722,0.7467443819313437,0.033445346957536114,0.7232041143316005,2,1.0135723032536923
BHAKKAR DISTRICT,152.6482852244464,99.7313739945194,218.38627623295804,30.060238021943206,Punjab,True,403,118.65490223843864,normal,hazard_v1_censoring_corrected,1647852,0.5928556448899893,0.5932824335331027,0.32463290203466055,0.5928556448899893,0.14616168921316822,0.467890141922954,3,0.7773091067742713
PANJGUR DISTRICT,67.26865255542039,10.574513707162517,212.25532397031375,54.73939328544457,Balochistan,False,0,201.68081026315127,normal,hazard_v1_censoring_corrected,315353,0.8512521213681111,0.22765856091329148,0.6298689139975057,0.8512521213681111,0.02604738177205199,0.4528792610153957,4,2.9981395880792054
ZIARAT DISTRICT,66.68409214579385,10.759981008453428,216.60631893830384,56.12725749690084,Balochistan,False,0,205.8463379298504,normal,hazard_v1_censoring_corrected,160095,0.7491112906016004,0.2251552795794821,0.6451830380216077,0.7491112906016004,0.012052093862122734,0.4346444907448075,5,3.0868882113563316
CHAGAI DISTRICT,54.30696583139607,8.178455514896378,187.1769016858294,47.31170146770413,Balochistan,False,0,178.99844617093302,normal,hazard_v1_censoring_corrected,226517,0.9815608512987988,0.17215232426674035,0.5464795898441682,0.9815608512987988,0.018039514887469712,0.43092092840845336,6,3.2960494741440707
HARNAI DISTRICT,66.03980925380806,10.590243208874154,205.9947401946881,53.99310513603147,Balochistan,False,0,195.404496985814,normal,hazard_v1_censoring_corrected,97052,0.7728341153720919,0.2223962467906704,0.6067947088465827,0.7728341153720919,0.0063692631177767415,0.42620066075643903,7,2.9588894818703064
MUSAKHEL DISTRICT,59.55620759961499,9.057192368826655,192.0224513987364,49.66768148905577,Balochistan,False,0,182.96525902990976,normal,hazard_v1_censoring_corrected,167243,0.8037999090196306,0.19463131654647794,0.5610631597934014,0.8037999090196306,0.012696429857563704,0.4082010993462941,8,3.072144221471425
NUSHKI DISTRICT,57.57110430641794,9.217464523176467,185.24128285806617,48.76803075871165,Balochistan,False,0,176.0238183348897,normal,hazard_v1_censoring_corrected,178947,0.7978429498608046,0.18613044659752173,0.5355436836993385,0.7978429498608046,0.013751453429281826,0.3960590190638994,9,3.057502899336722
WASHUK DISTRICT,53.99589104882189,9.838673964609203,155.44689501840134,39.7297184970702,Balochistan,True,214,145.60822105379214,normal,hazard_v1_censoring_corrected,175712,0.9770866602995746,0.17082019899138298,0.42372394168836497,0.9770866602995746,0.013459843616012164,0.39220857852457885,10,2.6966537309688325
