district_key,province,rank_remoteness_proxy,score_remoteness_proxy,rank_facility_distance,score_facility_distance,low_osm_facility_coverage,rank_change
ZHOB DISTRICT,Balochistan,1,0.871992636786455,1,0.8043658975522752,True,0
LORALAI DISTRICT,Balochistan,2,0.7232041143316005,2,0.6055421595642413,False,0
BHAKKAR DISTRICT,Punjab,3,0.467890141922954,5,0.37874258301965785,False,-2
PANJGUR DISTRICT,Balochistan,4,0.4528792610153957,3,0.4826288367417735,True,1
ZIARAT DISTRICT,Balochistan,5,0.4346444907448075,9,0.32057872721697267,False,-4
CHAGAI DISTRICT,Balochistan,6,0.43092092840845336,6,0.3591822892000929,False,0
HARNAI DISTRICT,Balochistan,7,0.42620066075643903,18,0.27926010593935147,False,-11
MUSAKHEL DISTRICT,Balochistan,8,0.4082010993462941,10,0.3177165105627716,True,-2
NUSHKI DISTRICT,Balochistan,9,0.3960590190638994,4,0.39154673414246877,True,5
WASHUK DISTRICT,Balochistan,10,0.39220857852457885,8,0.33960538404967894,True,2
GHOTKI DISTRICT,Sindh,11,0.39119395913145405,14,0.30523531381589397,False,-3
BADIN DISTRICT,Sindh,12,0.3812535913434915,21,0.2710990365971959,False,-9
AWARAN DISTRICT,Balochistan,13,0.3788884936652545,7,0.3550396810886016,True,6
KHARAN DISTRICT,Balochistan,14,0.375434363326695,11,0.3151173637513466,True,3
BAHAWALPUR DISTRICT,Punjab,15,0.3742882601116248,13,0.3104030762118535,False,2
BARKHAN DISTRICT,Balochistan,16,0.36926900852698524,28,0.25912571759368874,True,-12
SIBI DISTRICT,Balochistan,17,0.36715491109926157,32,0.24616469593332221,True,-15
RAHIM YAR KHAN DISTRICT,Punjab,18,0.3635217456542656,20,0.2739552410028126,False,-2
SHERANI DISTRICT,Balochistan,19,0.3609511564516242,15,0.297745127368408,True,4
JACOBABAD DISTRICT,Sindh,20,0.354230360916342,27,0.2597781504673773,False,-7
RAJANPUR DISTRICT,Punjab,21,0.3539982988277963,25,0.26367586399454834,False,-4
SAHIWAL DISTRICT,Punjab,22,0.3533838668577639,16,0.2897198994758402,False,6
TOBA TEK SINGH DISTRICT,Punjab,23,0.352998897445824,19,0.27430814190862624,False,4
MANDI BAHAUDDIN DISTRICT,Punjab,24,0.3512493722680012,22,0.2683964963139246,False,2
SHAHEED BENAZIRABAD DISTRICT,Sindh,25,0.3460007874780079,23,0.2665856110182621,False,2
VEHARI DISTRICT,Punjab,26,0.34046968225238117,29,0.25529743106921476,False,-3
DERA BUGTI DISTRICT,Balochistan,27,0.3392643428650057,24,0.264040527653932,True,3
GWADAR DISTRICT,Balochistan,28,0.3365520281992378,46,0.21215467534635504,False,-18
LAYYAH DISTRICT,Punjab,29,0.33331649552544074,37,0.2265301489711952,False,-8
KHANEWAL DISTRICT,Punjab,30,0.332962711167604,30,0.25375760987764195,False,0
KHAIRPUR DISTRICT,Sindh,31,0.32680748036171353,17,0.28439472133787735,False,14
DERA ISMAIL KHAN DISTRICT,Khyber Pakhtunkhwa,32,0.3260781158238552,40,0.22416185557093626,False,-8
CHINIOT DISTRICT,Punjab,33,0.3197291176203689,35,0.23929851983866446,False,-2
KALAT DISTRICT,Balochistan,34,0.3171738833772967,12,0.31360387390200284,True,22
HARIPUR DISTRICT,Khyber Pakhtunkhwa,35,0.312764700362664,42,0.21946381160609083,False,-7
PISHIN DISTRICT,Balochistan,36,0.31268805862700455,33,0.2458394840142306,True,3
KECH DISTRICT,Balochistan,37,0.3030082543757953,31,0.2510456746220679,True,6
