district_key,pct_draws_in_top20,prob_exceeds_national_median,posterior_mean_u5mr,posterior_rank_by_mean
ZHOB DISTRICT,99.53333333333333,1.0,247.6240212893957,1.0
LORALAI DISTRICT,99.83333333333333,1.0,221.8970933523967,2.0
BHAKKAR DISTRICT,99.15,1.0,152.64828522444657,3.0
SAHIWAL DISTRICT,87.23333333333333,1.0,116.30443351480385,4.0
BADIN DISTRICT,84.4,1.0,115.44866715603543,5.0
GHOTKI DISTRICT,79.55,0.9995,114.58001747593082,6.0
RAHIM YAR KHAN DISTRICT,90.06666666666666,1.0,113.47696629199524,7.0
TOBA TEK SINGH DISTRICT,77.35,0.9995,109.56100994237225,8.0
BAHAWALPUR DISTRICT,79.16666666666667,1.0,107.32708093724254,9.0
KHANEWAL DISTRICT,68.08333333333333,0.9998333333333334,101.70555430883167,10.0
SHAHEED BENAZIRABAD DISTRICT,61.28333333333333,0.997,99.44925161614248,11.0
VEHARI DISTRICT,59.85,0.996,98.24471242479167,12.0
DERA ISMAIL KHAN DISTRICT,43.266666666666666,0.9908333333333333,87.69888215484947,13.0
HARIPUR DISTRICT,41.766666666666666,0.9795,87.11379418341048,14.0
JACOBABAD DISTRICT,40.31666666666667,0.9246666666666666,85.88197548586169,15.0
LAYYAH DISTRICT,40.03333333333333,0.9745,85.84067391453787,16.0
KHAIRPUR DISTRICT,35.13333333333333,0.9826666666666667,82.65646709308757,17.0
CHINIOT DISTRICT,31.933333333333334,0.917,79.03462107600902,18.0
SARGODHA DISTRICT,22.716666666666665,0.9846666666666667,76.0181444165189,19.0
LAHORE DISTRICT,15.616666666666667,0.997,75.18965166699314,20.0
KASUR DISTRICT,22.333333333333332,0.9676666666666667,74.90861228325382,21.0
RAJANPUR DISTRICT,26.45,0.857,73.46245028038302,22.0
DERA GHAZI KHAN DISTRICT,20.733333333333334,0.9575,73.2981277764494,23.0
FAISALABAD DISTRICT,12.9,0.989,71.62242837411421,24.0
PAKPATTAN DISTRICT,20.65,0.8101666666666667,67.41903460949254,25.0
PANJGUR DISTRICT,23.2,0.6318333333333334,67.2686525554201,26.0
MUZAFFARGARH DISTRICT,11.0,0.9506666666666667,67.25205387066265,27.0
KARACHI SOUTH DISTRICT,14.7,0.9058333333333334,67.12446723079641,28.0
ZIARAT DISTRICT,22.2,0.611,66.68409214579397,29.0
KAMBAR SHAHDAD KOT DISTRICT,16.4,0.8715,66.65100918454074,30.0
SUKKUR DISTRICT,15.2,0.8831666666666667,66.10487631587158,31.0
HARNAI DISTRICT,21.783333333333335,0.6241666666666666,66.03980925380812,32.0
BAHAWALNAGAR DISTRICT,16.1,0.8201666666666667,64.75115895988948,33.0
HAFIZABAD DISTRICT,17.816666666666666,0.784,64.55204256441398,34.0
KASHMORE DISTRICT,13.5,0.8658333333333333,64.2616558944357,35.0
MUSAKHEL DISTRICT,18.1,0.5536666666666666,59.5562075996153,36.0
KILLA ABDULLAH DISTRICT,13.033333333333333,0.7126666666666667,58.770671607001404,37.0
MANDI BAHAUDDIN DISTRICT,17.65,0.5398333333333334,58.335025695746445,38.0
MIANWALI DISTRICT,8.916666666666666,0.773,58.23196534685331,39.0
MULTAN DISTRICT,4.483333333333333,0.8516666666666667,58.13228124317807,40.0
CHAKWAL DISTRICT,13.4,0.678,57.57329229082203,41.0
NUSHKI DISTRICT,16.733333333333334,0.5391666666666667,57.57110430641777,42.0
TORGHAR DISTRICT,14.5,0.5948333333333333,56.38141396493411,43.0
BARKHAN DISTRICT,14.333333333333334,0.5123333333333333,54.3532587203542,44.0
CHAGAI DISTRICT,15.016666666666667,0.5005,54.306965831396006,45.0
WASHUK DISTRICT,14.716666666666667,0.53,53.99589104882185,46.0
PESHAWAR DISTRICT,2.8,0.7593333333333333,53.32638376909921,47.0
SIBI DISTRICT,13.766666666666667,0.5171666666666667,53.08518018546561,48.0
GUJRANWALA DISTRICT,1.0333333333333334,0.8165,53.04987234426216,49.0
SHERANI DISTRICT,13.733333333333333,0.5148333333333334,52.835671730549514,50.0
LOWER DIR DISTRICT,8.433333333333334,0.6078333333333333,51.97231636987578,51.0
KALAT DISTRICT,11.683333333333334,0.5271666666666667,51.20194893538629,52.0
MIRPUR KHAS DISTRICT,6.666666666666667,0.6128333333333333,51.01255125121284,53.0
KHARAN DISTRICT,12.483333333333333,0.49016666666666664,50.883353987108286,54.0
PISHIN DISTRICT,12.383333333333333,0.5063333333333333,50.76305488596776,55.0
DERA BUGTI DISTRICT,11.083333333333334,0.488,49.67305303967974,56.0
HANGU DISTRICT,11.966666666666667,0.4681666666666667,49.012599324574445,57.0
TANK DISTRICT,7.75,0.538,48.91624557240947,58.0
SOHBATPUR DISTRICT,11.066666666666666,0.479,48.820420245431684,59.0
SHIKARPUR DISTRICT,8.65,0.5223333333333333,48.247830386247095,60.0
NASIRABAD DISTRICT,8.466666666666667,0.5153333333333333,48.2251430756351,61.0
NAROWAL DISTRICT,5.5,0.5338333333333334,46.88558947840682,62.0
GWADAR DISTRICT,9.783333333333333,0.45466666666666666,46.80002011890889,63.0
MASTUNG DISTRICT,7.366666666666666,0.4985,46.76984110478729,64.0
BANNU DISTRICT,5.133333333333334,0.5256666666666666,46.71328276444173,65.0
AWARAN DISTRICT,9.416666666666666,0.42683333333333334,45.76369299629507,66.0
SHANGLA DISTRICT,5.283333333333333,0.506,45.68520201215881,67.0
UPPER DIR DISTRICT,5.183333333333334,0.49883333333333335,45.213617658724864,68.0
QUETTA DISTRICT,2.4,0.5028333333333334,43.94300725428142,69.0
KHUZDAR DISTRICT,3.8833333333333333,0.469,43.58150470926954,70.0
KECH DISTRICT,7.366666666666666,0.41483333333333333,43.294780536548075,71.0
KARAK DISTRICT,5.516666666666667,0.426,42.76743790632077,72.0
TANDO MUHAMMAD KHAN DISTRICT,5.516666666666667,0.4325,42.60941022607684,73.0
MARDAN DISTRICT,1.6666666666666667,0.469,41.996522832990344,74.0
LASBELA DISTRICT,3.6333333333333333,0.4355,41.92446067252744,75.0
MATIARI DISTRICT,4.383333333333334,0.414,41.42257963896087,76.0
BUNER DISTRICT,3.4,0.41,40.66018184769084,77.0
JAFFARABAD DISTRICT,5.183333333333334,0.38266666666666665,40.48874713341054,78.0
JHAL MAGSI DISTRICT,6.7,0.36633333333333334,40.48706504930778,79.0
RAWALPINDI DISTRICT,0.2833333333333333,0.43266666666666664,39.93625904091199,80.0
KACHHI DISTRICT,5.966666666666667,0.3595,39.52530504652805,81.0
