district_key,pct_weight_scenarios_in_top20,default_rank
ZHOB DISTRICT,100.0,1
LORALAI DISTRICT,85.71428571428571,2
BHAKKAR DISTRICT,71.42857142857143,3
PANJGUR DISTRICT,85.71428571428571,4
ZIARAT DISTRICT,71.42857142857143,5
CHAGAI DISTRICT,85.71428571428571,6
HARNAI DISTRICT,85.71428571428571,7
MUSAKHEL DISTRICT,85.71428571428571,8
NUSHKI DISTRICT,71.42857142857143,9
WASHUK DISTRICT,71.42857142857143,10
GHOTKI DISTRICT,71.42857142857143,11
BADIN DISTRICT,71.42857142857143,12
AWARAN DISTRICT,71.42857142857143,13
KHARAN DISTRICT,57.142857142857146,14
BAHAWALPUR DISTRICT,57.142857142857146,15
BARKHAN DISTRICT,57.142857142857146,16
SIBI DISTRICT,57.142857142857146,17
RAHIM YAR KHAN DISTRICT,57.142857142857146,18
SHERANI DISTRICT,57.142857142857146,19
JACOBABAD DISTRICT,57.142857142857146,20
