district_key,area_sqkm,population_2017,male,female,sex_ratio,pop_density_per_sqkm,urban_pct,avg_household_size,pop_growth_rate_pct,population_under5,literacy_rate_pct,mean_persons_per_room,improved_water_pct,improved_sanitation_pct
BANNU DISTRICT,1227,1167071,592625,574422,103.17,951.16,4.28,9.34,2.91,191230.0,47.52550270877685,2.8060324898764146,83.63070381899628,38.94583217337754
LAKKI MARWAT DISTRICT,3164,875744,441717,434023,101.77,276.78,10.19,8.71,3.1,153713.0,44.818128805746234,2.8406894484734466,55.99475017174731,47.37969998051822
DERA ISMAIL KHAN DISTRICT,7326,1625088,837685,787301,106.4,221.82,22.17,7.96,3.44,258104.0,44.18138161764906,3.122703037378661,72.37080792105223,37.13132191022875
TANK DISTRICT,1679,390626,200100,190499,105.04,232.65,12.05,8.85,2.63,67978.0,41.36542552564007,2.8779853952610024,54.924322421682504,24.589933122140092
ABBOTTABAD DISTRICT,1967,1333089,677857,655196,103.46,677.73,22.05,6.08,2.2,165094.0,76.20148266480294,2.5244228368231907,64.1970177413103,46.682669182237206
BATAGRAM DISTRICT,1301,476749,238402,238312,100.04,366.45,0.0,6.88,2.33,78239.0,,3.027785090618087,52.3842050954118,24.607961399276235
HARIPUR DISTRICT,1725,1001515,498202,503266,98.99,580.59,13.29,6.07,1.96,127594.0,72.20509820086964,2.465893990078519,70.71657635057063,42.63867176638511
MANSEHRA DISTRICT,4125,1555742,771976,783509,98.53,377.15,9.31,6.51,2.47,217933.0,62.55948832599377,,46.78824979806998,49.07282234408876
TORGHAR DISTRICT,454,171349,86059,85274,100.92,377.42,0.0,6.49,-0.1,29389.0,23.85686241114408,3.198660991735837,32.37700239716906,7.2523876564818694
KOHISTAN DISTRICT,7492,784711,424643,360055,117.94,104.74,0.0,7.84,2.7,124502.0,,3.9917657881925632,25.518795328578758,8.948527858529568
HANGU DISTRICT,1097,518811,249044,269732,92.33,472.94,19.76,10.29,2.66,82717.0,43.589197296767544,2.6971821846193382,40.174691095014914,44.35875585854282
KARAK DISTRICT,3371,705362,348315,357004,97.57,209.24,7.24,9.38,2.62,111397.0,63.753291866911226,2.4621299961904057,37.58638359161854,27.914191144902848
KOHAT DISTRICT,2545,992427,495782,496539,99.85,389.95,27.2,8.0,3.03,141253.0,59.294581986788224,2.7188706826784617,61.65251563065375,40.31825104975723
MARDAN DISTRICT,1632,2373399,1201122,1172215,102.47,1454.29,18.55,7.57,2.59,346965.0,56.80791978968431,3.0626069177718427,89.17412489571464,59.57850861388935
SWABI DISTRICT,1543,1625477,815828,809550,100.78,1053.45,16.98,7.56,2.44,224350.0,59.060966788140796,3.140808328571308,72.57202074500303,60.77330027256208
CHARSADDA DISTRICT,996,1610960,817651,793298,103.07,1617.43,16.77,7.3,2.42,238442.0,50.72053900800046,3.3269268311238562,78.32008610697136,56.80162278522934
