district_key,area_sqkm,population_2017,male,female,sex_ratio,pop_density_per_sqkm,urban_pct,avg_household_size,pop_growth_rate_pct,population_under5,literacy_rate_pct,mean_persons_per_room,improved_water_pct,improved_sanitation_pct,province,n_households_hr,mean_wealth_score,pct_lowest_wealth_quintile,n_women_ir,mean_years_education,pct_no_education,n_women_with_recent_birth,mean_anc_visits,pct_zero_anc_visits,low_dhs_hr_coverage,low_dhs_ir_coverage,low_dhs_anc_coverage,improved_water_pct_imputed,improved_sanitation_pct_imputed,wash_index,mean_persons_per_room_imputed,household_pressure_index,remoteness_proxy,population_under5_imputed,under5_share_pct,anc_deficit_index,anc_data_source,education_adequacy,education_data_source,wealth_adequacy,wealth_data_source,deprivation_index,deprivation_data_source,facility_count_in_district,facility_distance_km,low_osm_facility_coverage
BANNU DISTRICT,1227,1167071,592625,574422,103.17,951.16,4.28,9.34,2.91,191230.0,47.52550270877685,2.806032489876414,83.63070381899628,38.94583217337754,Khyber Pakhtunkhwa,52.0,-0.2877681214702942,18.40908854464685,63.0,1.6702986563993991,72.94662898208296,38.0,2.88773339944598,5.112014135672737,False,False,False,False,False,0.6063238312059909,False,0.5402927161111605,0.4218676534793749,False,16.385464123433792,0.6517375749170257,dhs,0.162538962271195,dhs,0.4278148569382502,dhs,0.6245460472990826,education=dhs;wealth=dhs,1,7.36,False
LAKKI MARWAT DISTRICT,3164,875744,441717,434023,101.77,276.78,10.19,8.71,3.1,153713.0,44.81812880574624,2.8406894484734466,55.99475017174731,47.37969998051822,Khyber Pakhtunkhwa,54.0,-0.7836312743741094,38.23641520577748,47.0,0.6373442345710706,93.47697095182856,33.0,2.907490144183396,8.558457022520166,False,False,False,False,False,0.4936402519246967,False,0.4865977690814211,0.558210331078389,False,17.55227555084591,0.6492208171959193,dhs,0.0620208069376186,dhs,0.2667086964459033,dhs,0.7225417236153363,education=dhs;wealth=dhs,0,46.72,True
DERA ISMAIL KHAN DISTRICT,7326,1625088,837685,787301,106.4,221.82,22.17,7.96,3.44,258104.0,44.18138161764906,3.122703037378661,72.37080792105223,37.13132191022875,Khyber Pakhtunkhwa,139.0,-0.6729479269063843,41.83557554170198,146.0,1.4464419551021768,83.18975939110375,90.0,2.302765389326171,20.425564741742328,False,False,False,False,False,0.5320811070057538,False,0.4633235459989352,0.5826106244890343,False,15.882462980466288,0.7262550511326876,dhs,0.1407551718173739,dhs,0.3026697656169865,dhs,0.6730170706775126,education=dhs;wealth=dhs,8,13.26,False
TANK DISTRICT,1679,390626,200100,190499,105.04,232.65,12.05,8.85,2.63,67978.0,41.36542552564007,2.8779853952610024,54.9243224216825,24.58993312214009,Khyber Pakhtunkhwa,55.0,-0.2553551844884301,15.617676292410332,70.0,1.5779356757160377,83.67498638957085,50.0,2.9666350176120004,15.02049918337425,False,False,False,False,False,0.3645475700843668,False,0.5061272081053331,0.5773579220936319,False,17.402323450051966,0.6416865134002439,dhs,0.1535509989659319,dhs,0.4383458346825099,dhs,0.6677629671560974,education=dhs;wealth=dhs,0,27.2,True
ABBOTTABAD DISTRICT,1967,1333089,677857,655196,103.46,677.73,22.05,6.08,2.2,165094.0,76.20148266480294,2.5244228368231907,64.1970177413103,46.682669182237206,Khyber Pakhtunkhwa,105.0,-0.1474653772267833,12.224184319294194,105.0,6.464561536521244,28.46170062985152,46.0,4.385903232199034,2.5765730957989463,False,False,False,False,False,0.5368295571841863,False,0.1846181251602883,0.4593326909520379,False,12.384319426534912,0.4608898141030068,dhs,0.6290749978506794,dhs,0.4733992813893171,dhs,0.4081307736726731,education=dhs;wealth=dhs,4,6.55,False
BATAGRAM DISTRICT,1301,476749,238402,238312,100.04,366.45,0.0,6.88,2.33,78239.0,,3.027785090618087,52.3842050954118,24.607961399276235,Khyber Pakhtunkhwa,25.0,-0.4158644000000001,36.00000000000001,35.0,1.4,80.0,21.0,3.142857142857144,14.285714285714288,True,False,True,False,False,0.3501050713225649,False,0.3452185173319349,0.527247738894917,False,16.41094160658963,0.6192380584429568,dhs,0.13623584399583,dhs,0.386196318665288,dhs,0.6682203223371503,education=dhs;wealth=dhs,4,3.87,False
HARIPUR DISTRICT,1725,1001515,498202,503266,98.99,580.59,13.29,6.07,1.96,127594.0,72.20509820086964,2.465893990078519,70.71657635057063,42.63867176638511,Khyber Pakhtunkhwa,80.0,0.1721721724980697,9.210511290777053,92.0,4.347786297230627,47.34048826241179,48.0,4.805397397766589,7.889071895681961,False,False,False,False,False,0.5523278986812011,False,0.1737911278176223,0.4764275121293929,False,12.740098750393154,0.4074515987399362,dhs,0.4230888112262279,dhs,0.577249664471404,dhs,0.4443471061658021,education=dhs;wealth=dhs,7,1.94,False
MANSEHRA DISTRICT,4125,1555742,771976,783509,98.53,377.15,9.31,6.51,2.47,217933.0,62.55948832599377,3.017791275871346,46.78824979806998,49.07282234408876,Khyber Pakhtunkhwa,76.0,-0.4094231823896973,16.27057499410735,84.0,2.758933127439054,62.59589104234383,45.0,2.7806239031398303,16.649449839214057,False,False,False,False,False,0.4500772187743969,True,0.3085595499456001,0.524070917742431,False,14.008299576665026,0.6653819609439304,dhs,0.2684754165319388,dhs,0.3882890731521148,dhs,0.5958153710051476,education=dhs;wealth=dhs,2,23.85,False
TORGHAR DISTRICT,454,171349,86059,85274,100.92,377.42,0.0,6.49,-0.1,29389.0,23.85686241114408,3.198660991735837,32.37700239716906,7.252387656481869,Khyber Pakhtunkhwa,28.0,-1.2968789285714284,85.71428571428572,35.0,0.1428571428571428,97.14285714285714,26.0,1.0384615384615383,51.42857142857142,True,False,True,False,False,0.1419382131873793,False,0.3372066380298183,0.52399192271812,False,17.151544508576062,0.8873112636200663,dhs,0.0139016167342683,dhs,0.0999543036961901,dhs,0.8373414961011458,education=dhs;wealth=dhs,0,16.06,True
KOHISTAN DISTRICT,7492,784711,424643,360055,117.94,104.74,0.0,7.84,2.7,124502.0,,3.9917657881925632,25.51879532857876,8.948527858529568,Khyber Pakhtunkhwa,,,,,,,,,,,,,False,False,0.1118332247961051,False,0.5987110841568055,0.665106722061753,False,15.865968490310443,0.6029219684883771,imputed_median,0.2552563274793583,imputed_median,0.1118332247961051,census_wash_proxy,0.7945503356076928,education=imputed_median;wealth=census_wash_proxy,1,46.83,False
HANGU DISTRICT,1097,518811,249044,269732,92.33,472.94,19.76,10.29,2.66,82717.0,43.58919729676754,2.6971821846193382,40.174691095014914,44.35875585854282,Khyber Pakhtunkhwa,26.0,-0.7225469230769231,50.0,33.0,0.6363636363636365,90.9090909090909,19.0,2.9473684210526305,9.090909090909092,True,False,True,False,False,0.3867854109552353,False,0.6117068494891258,0.499081313798515,False,15.943570972859096,0.64414083248442,dhs,0.0619253836344681,dhs,0.2865550295441085,dhs,0.7567585520970254,education=dhs;wealth=dhs,0,27.73,True
KARAK DISTRICT,3371,705362,348315,357004,97.57,209.24,7.24,9.38,2.62,111397.0,63.753291866911226,2.4621299961904057,37.58638359161854,27.914191144902848,Khyber Pakhtunkhwa,27.0,0.3258662962962962,0.0,32.0,7.59375,28.125,19.0,4.36842105263158,3.125,True,False,True,False,False,0.2832407597738026,False,0.4860100698278088,0.5890425328015321,False,15.79288365406699,0.463116821183016,dhs,0.7389578145309529,dhs,0.6271849541382504,dhs,0.4194626371921021,education=dhs;wealth=dhs,6,16.23,False
KOHAT DISTRICT,2545,992427,495782,496539,99.85,389.95,27.2,8.0,3.03,141253.0,59.294581986788224,2.7188706826784617,61.65251563065375,40.31825104975723,Khyber Pakhtunkhwa,76.0,-0.1888436659486963,15.199221217128214,91.0,1.5754703498187848,82.20332479321003,59.0,2.2736518292110204,23.782817247866447,False,False,False,False,False,0.4879245439920726,False,0.3989225393210812,0.5203866402625161,False,14.233087169131837,0.7299637479945718,dhs,0.1533110948556912,dhs,0.4599554568488309,dhs,0.6206079518456065,education=dhs;wealth=dhs,6,16.91,False
MARDAN DISTRICT,1632,2373399,1201122,1172215,102.47,1454.29,18.55,7.57,2.59,346965.0,56.80791978968431,3.0626069177718427,89.17412489571464,59.57850861388935,Khyber Pakhtunkhwa,148.0,-0.1906128640736478,23.16251186784533,151.0,3.6343183611397047,56.53961792517039,78.0,3.2396935927818564,8.329484602935175,False,False,False,False,False,0.7493812814564041,False,0.4163151112703975,0.3749156882706888,False,14.618907313940891,0.6069023277205263,dhs,0.3536603066281495,dhs,0.4593806435855503,dhs,0.5009757100037614,education=dhs;wealth=dhs,15,6.31,False
SWABI DISTRICT,1543,1625477,815828,809550,100.78,1053.45,16.98,7.56,2.44,224350.0,59.0609667881408,3.140808328571308,72.57202074500303,60.77330027256208,Khyber Pakhtunkhwa,106.0,-0.0622743830919246,2.741232543262461,119.0,3.6386844624726975,52.58367174699975,67.0,3.1784646278732724,9.1844454229986,False,False,False,False,False,0.660796585055854,False,0.4285732003813288,0.4105740668315333,False,13.802102398249868,0.6147021182344564,dhs,0.3540851776996292,dhs,0.5010778735436637,dhs,0.5078734887880592,education=dhs;wealth=dhs,4,6.08,False
CHARSADDA DISTRICT,996,1610960,817651,793298,103.07,1617.43,16.77,7.3,2.42,238442.0,50.72053900800046,3.326926831123856,78.32008610697136,56.80162278522934,Khyber Pakhtunkhwa,102.0,-0.5125789933515874,21.5052965508617,97.0,1.5793885266174497,81.11923391967233,55.0,3.4356400623546,9.51507204629835,False,False,False,False,False,0.6722690689353359,False,0.4354221663076674,0.3631561699737727,False,14.801236529771067,0.5819412424417959,dhs,0.1536923778007561,dhs,0.3547737039636159,dhs,0.6206350677397334,education=dhs;wealth=dhs,27,0.86,False
NOWSHERA DISTRICT,1748,1520995,783035,737834,106.13,870.13,22.32,7.52,2.95,220079.0,58.21446938633679,3.108496125840934,76.94421839733452,57.52225071268816,Khyber Pakhtunkhwa,138.0,0.6150683120060604,1.5055056665480182,184.0,5.149464758454314,42.80273443114604,90.0,4.873329518323501,4.387361988198872,False,False,False,False,False,0.6682817781347908,False,0.4193369961345952,0.4317114204425837,False,14.469409827119748,0.3987979115462684,dhs,0.5011011982105759,dhs,0.7211468185857287,dhs,0.387514728843811,education=dhs;wealth=dhs,6,9.3,False
PESHAWAR DISTRICT,1257,4267198,2198005,2068568,106.26,3394.75,46.16,8.37,3.99,640771.0,55.03745552511623,2.843058889348767,82.64850851493517,57.00760269324697,Khyber Pakhtunkhwa,454.0,0.0841243481719106,13.084563391368016,551.0,2.4998141164690844,69.43123674475099,334.0,3.3553774129149287,10.082983360725493,False,False,False,False,False,0.6981565941797119,False,0.4548617118165193,0.2811374102110313,False,15.016200326303116,0.5921656820131183,dhs,0.2432602042784684,dhs,0.5486428869082329,dhs,0.5288640003666017,education=dhs;wealth=dhs,56,1.63,False
BUNER DISTRICT,1865,895460,445872,449555,99.18,480.14,0.0,9.36,3.04,139603.0,46.84037521573588,3.017791275871346,50.42370147327669,32.47983654156361,Khyber Pakhtunkhwa,26.0,-0.3386923076923077,23.07692307692308,38.0,1.342105263157895,81.57894736842107,24.0,3.791666666666667,5.2631578947368425,True,False,True,False,False,0.381356883996795,True,0.5779357314200803,0.4974125839129045,False,15.59008777611507,0.5365879862636784,dhs,0.1306020308982581,dhs,0.4112695660240506,dhs,0.6913274022920475,education=dhs;wealth=dhs,3,6.99,False
CHITRAL DISTRICT,14850,447625,225669,221934,101.68,30.14,11.12,7.23,1.8,60424.0,64.66984692491168,2.4082694194355083,59.57492239212917,63.07343593449731,Khyber Pakhtunkhwa,52.0,-1.011266778176174,58.57425217081128,50.0,4.735390908127585,55.04609091872419,28.0,2.2701841580965776,25.77421214368974,False,False,True,False,False,0.5988111864326653,False,0.2737028168164838,0.8004075394991144,False,13.498799218095504,0.730405485141431,dhs,0.460807126442101,dhs,0.192749819294962,dhs,0.5521857451927155,education=dhs;wealth=dhs,11,5.36,False
SHANGLA DISTRICT,1586,759609,386082,373508,103.37,478.95,0.0,8.44,2.98,135718.0,33.13071404840714,3.135828943318252,58.85773765075917,23.507116511664744,Khyber Pakhtunkhwa,27.0,-0.2062103703703703,7.407407407407406,30.0,1.7000000000000008,76.66666666666667,20.0,3.849999999999999,0.0,True,False,True,False,False,0.3812201636357381,False,0.5109083007741426,0.49768665813851,False,17.8668235895046,0.5291570623429727,dhs,0.1654292391377936,dhs,0.4543130068030939,dhs,0.6561980766498179,education=dhs;wealth=dhs,1,18.65,False
SWAT DISTRICT,5337,2308624,1171947,1136544,103.11,432.57,30.14,8.37,3.24,350845.0,50.27133149581123,2.886329409451923,53.828042542826985,35.38014717279149,Khyber Pakhtunkhwa,151.0,-0.0739294075367698,13.836680450597392,172.0,3.338344235487072,57.40997981234671,101.0,4.469049624512007,1.688771640786746,False,False,False,False,False,0.4164925685878086,False,0.4621673639480603,0.5089345550405807,False,15.197147738219822,0.4502980224077122,dhs,0.3248586746215679,dhs,0.4972911508808534,dhs,0.5731387094928425,education=dhs;wealth=dhs,16,34.56,False
LOWER DIR DISTRICT,1583,1436082,709829,726203,97.75,907.19,2.81,9.17,3.27,239244.0,57.28904454988397,2.689418612140151,52.493692615808776,34.2055296902229,Khyber Pakhtunkhwa,71.0,-0.2703917058061502,29.93876448591022,76.0,3.397737819875096,59.02320147187892,47.0,3.648534889381125,13.10923157869831,False,False,False,False,False,0.4025168562803862,False,0.5045359600543516,0.4271003767423167,False,16.65949437427668,0.5548211522232944,dhs,0.3306383425480251,dhs,0.4334604621710156,dhs,0.599415464208962,education=dhs;wealth=dhs,0,25.96,True
UPPER DIR DISTRICT,3699,947401,466594,480766,97.05,256.12,4.65,7.86,3.26,179229.0,46.094080062479904,3.11792766790038,54.18174490558434,34.00223339854409,Khyber Pakhtunkhwa,51.0,-1.010867014210082,55.43077765221619,59.0,0.6112866427856865,85.89338516648417,42.0,1.9808298023567503,32.671483153291135,False,False,False,False,False,0.4110824468968252,False,0.4530654924995153,0.5667641271558561,False,18.91796609883249,0.7672655457750451,dhs,0.0594851083594896,dhs,0.1928797027866131,dhs,0.7570596357337569,education=dhs;wealth=dhs,2,17.86,False
