district_key,facility_count_in_district,facility_distance_km,low_osm_facility_coverage
ABBOTTABAD DISTRICT,4,6.55,False
ATTOCK DISTRICT,9,21.35,False
AWARAN DISTRICT,0,158.15,True
BADIN DISTRICT,64,2.49,False
BAHAWALNAGAR DISTRICT,0,62.22,True
BAHAWALPUR DISTRICT,25,55.39,False
BAJAUR AGENCY DISTRICT,1,3.22,False
BANNU DISTRICT,1,7.36,False
BARKHAN DISTRICT,0,35.68,True
BATAGRAM DISTRICT,4,3.87,False
BHAKKAR DISTRICT,3,26.55,False
BUNER DISTRICT,3,6.99,False
CHAGAI DISTRICT,4,111.89,False
CHAKWAL DISTRICT,9,11.69,False
CHARSADDA DISTRICT,27,0.86,False
CHINIOT DISTRICT,2,15.75,False
CHITRAL DISTRICT,11,5.36,False
DADU DISTRICT,3,33.2,False
DERA BUGTI DISTRICT,0,75.84,True
DERA GHAZI KHAN DISTRICT,9,37.89,False
DERA ISMAIL KHAN DISTRICT,8,13.26,False
FAISALABAD DISTRICT,122,14.72,False
FR BANNU DISTRICT,0,11.76,True
FR D.I.KHAN DISTRICT,0,59.74,True
FR KOHAT DISTRICT,3,5.16,False
FR LAKKI MARWAT DISTRICT,0,41.32,True
FR PESHAWAR DISTRICT,0,15.67,True
FR TANK DISTRICT,1,19.48,False
GHOTKI DISTRICT,2,23.61,False
GUJRANWALA DISTRICT,37,5.51,False
GUJRAT DISTRICT,54,4.55,False
GWADAR DISTRICT,2,39.29,False
HAFIZABAD DISTRICT,4,4.83,False
HANGU DISTRICT,0,27.73,True
HARIPUR DISTRICT,7,1.94,False
HARNAI DISTRICT,1,7.0,False
HYDERABAD DISTRICT,59,8.86,False
ISLAMABAD DISTRICT,69,2.9,False
JACOBABAD DISTRICT,3,9.66,False
JAFFARABAD DISTRICT,4,5.81,False
JAMSHORO DISTRICT,5,58.87,False
JHAL MAGSI DISTRICT,0,44.65,True
JHANG DISTRICT,6,17.29,False
JHELUM DISTRICT,13,18.99,False
KACHHI DISTRICT,1,60.76,False
KALAT DISTRICT,0,131.15,True
KAMBAR SHAHDAD KOT DISTRICT,28,8.08,False
KARACHI CENTRAL DISTRICT,395,0.16,False
KARACHI EAST DISTRICT,208,0.27,False
KARACHI SOUTH DISTRICT,376,0.89,False
KARACHI WEST DISTRICT,126,7.2,False
KARAK DISTRICT,6,16.23,False
KASHMORE DISTRICT,0,36.32,True
KASUR DISTRICT,7,17.97,False
KECH DISTRICT,0,91.55,True
KHAIRPUR DISTRICT,8,74.2,False
KHANEWAL DISTRICT,11,11.7,False
KHARAN DISTRICT,0,108.77,True
KHUSHAB DISTRICT,13,13.35,False
KHUZDAR DISTRICT,0,97.49,True
KHYBER AGENCY DISTRICT,2,29.05,False
KILLA ABDULLAH DISTRICT,0,64.21,True
KILLA SAIFULLAH DISTRICT,1,53.26,False
KOHAT DISTRICT,6,16.91,False
KOHISTAN DISTRICT,1,46.83,False
KOHLU DISTRICT,0,97.22,True
KORANGI DISTRICT,120,0.56,False
KURRAM AGENCY DISTRICT,3,1.13,False
LAHORE DISTRICT,248,1.22,False
LAKKI MARWAT DISTRICT,0,46.72,True
LARKANA DISTRICT,4,3.79,False
LASBELA DISTRICT,4,45.82,False
LAYYAH DISTRICT,7,3.59,False
LODHRAN DISTRICT,3,15.74,False
LORALAI DISTRICT,1,28.58,False
LOWER DIR DISTRICT,0,25.96,True
MALAKAND PROTECTED AREA DISTRICT,5,9.66,False
MALIR DISTRICT,88,11.96,False
MANDI BAHAUDDIN DISTRICT,19,10.78,False
MANSEHRA DISTRICT,2,23.85,False
MARDAN DISTRICT,15,6.31,False
MASTUNG DISTRICT,0,41.02,True
MATIARI DISTRICT,2,11.69,False
MIANWALI DISTRICT,12,9.09,False
MIRPUR KHAS DISTRICT,59,9.29,False
MOHMAND AGENCY DISTRICT,0,27.95,True
MULTAN DISTRICT,50,13.41,False
MUSAKHEL DISTRICT,0,63.19,True
MUZAFFARGARH DISTRICT,11,9.21,False
NANKANA SAHIB DISTRICT,12,6.12,False
NAROWAL DISTRICT,2,16.91,False
NASIRABAD DISTRICT,0,38.3,True
NAUSHAHRO FEROZE DISTRICT,4,4.01,False
NORTH WAZIRISTAN AGENCY DISTRICT,0,59.48,True
NOWSHERA DISTRICT,6,9.3,False
NUSHKI DISTRICT,0,139.23,True
OKARA DISTRICT,7,20.55,False
ORAKZAI AGENCY DISTRICT,0,36.48,True
PAKPATTAN DISTRICT,2,17.26,False
PANJGUR DISTRICT,0,179.54,True
PESHAWAR DISTRICT,56,1.63,False
PISHIN DISTRICT,0,57.08,True
QUETTA DISTRICT,20,20.66,False
RAHIM YAR KHAN DISTRICT,6,12.44,False
RAJANPUR DISTRICT,3,29.86,False
RAWALPINDI DISTRICT,91,7.61,False
SAHIWAL DISTRICT,8,22.54,False
SANGHAR DISTRICT,63,1.92,False
SARGODHA DISTRICT,9,4.75,False
SHAHEED BENAZIRABAD DISTRICT,2,23.95,False
SHANGLA DISTRICT,1,18.65,False
SHEIKHUPURA DISTRICT,27,11.41,False
SHERANI DISTRICT,0,83.9,True
SHIKARPUR DISTRICT,1,3.15,False
SIALKOT DISTRICT,15,6.05,False
SIBI DISTRICT,0,38.62,True
SOHBATPUR DISTRICT,1,19.25,False
SOUTH WAZIRISTAN A DISTRICT,0,35.5,True
SUJAWAL DISTRICT,1,36.98,False
SUKKUR DISTRICT,18,31.51,False
SWABI DISTRICT,4,6.08,False
SWAT DISTRICT,16,34.56,False
TANDO ALLAHYAR DISTRICT,19,5.33,False
TANDO MUHAMMAD KHAN DISTRICT,16,14.16,False
TANK DISTRICT,0,27.2,True
THARPARKAR DISTRICT,4,37.37,False
THATTA DISTRICT,21,2.14,False
TOBA TEK SINGH DISTRICT,7,12.09,False
TORGHAR DISTRICT,0,16.06,True
UMER KOT DISTRICT,20,4.34,False
UPPER DIR DISTRICT,2,17.86,False
VEHARI DISTRICT,2,6.54,False
WASHUK DISTRICT,0,128.25,True
ZHOB DISTRICT,0,91.47,True
ZIARAT DISTRICT,1,32.23,False
