district_key,province,area_sqkm,census_population_2017
ABBOTTABAD DISTRICT,Khyber Pakhtunkhwa,1967,1333089
ATTOCK DISTRICT,Punjab,6857,1886378
AWARAN DISTRICT,Balochistan,29510,121821
BADIN DISTRICT,Sindh,6858,1804958
BAHAWALNAGAR DISTRICT,Punjab,8878,2975656
BAHAWALPUR DISTRICT,Punjab,24830,3669176
BAJAUR AGENCY DISTRICT,Fata,1290,1090987
BANNU DISTRICT,Khyber Pakhtunkhwa,1227,1167071
BARKHAN DISTRICT,Balochistan,3514,171025
BATAGRAM DISTRICT,Khyber Pakhtunkhwa,1301,476749
BHAKKAR DISTRICT,Punjab,8153,1647852
BUNER DISTRICT,Khyber Pakhtunkhwa,1865,895460
CHAGAI DISTRICT,Balochistan,44748,226517
CHAKWAL DISTRICT,Punjab,6525,1495463
CHARSADDA DISTRICT,Khyber Pakhtunkhwa,996,1610960
CHINIOT DISTRICT,Punjab,2643,1368659
CHITRAL DISTRICT,Khyber Pakhtunkhwa,14850,447625
DADU DISTRICT,Sindh,7866,1550390
DERA BUGTI DISTRICT,Balochistan,10160,313110
DERA GHAZI KHAN DISTRICT,Punjab,11922,2872631
DERA ISMAIL KHAN DISTRICT,Khyber Pakhtunkhwa,7326,1625088
FAISALABAD DISTRICT,Punjab,5857,7882444
FR BANNU DISTRICT,Fata,745,43112
FR D.I.KHAN DISTRICT,Fata,2008,68506
FR KOHAT DISTRICT,Fata,446,118839
FR LAKKI MARWAT DISTRICT,Fata,132,26394
FR PESHAWAR DISTRICT,Fata,261,64761
FR TANK DISTRICT,Fata,1221,36418
GHOTKI DISTRICT,Sindh,6083,1648708
GUJRANWALA DISTRICT,Punjab,3622,5011066
GUJRAT DISTRICT,Punjab,3192,2756289
GWADAR DISTRICT,Balochistan,12637,262253
HAFIZABAD DISTRICT,Punjab,2367,1156954
HANGU DISTRICT,Khyber Pakhtunkhwa,1097,518811
HARIPUR DISTRICT,Khyber Pakhtunkhwa,1725,1001515
HARNAI DISTRICT,Balochistan,2492,97052
HYDERABAD DISTRICT,Sindh,993,2199928
