district_key,source
ASTORE DISTRICT,shapefile_only
BAGH DISTRICT,shapefile_only
BHIMBER DISTRICT,shapefile_only
CLIFTON CANTONMENT DISTRICT,shapefile_only
DIAMIR DISTRICT,shapefile_only
FAISAL CANTONMENT DISTRICT,shapefile_only
GHANCHE DISTRICT,shapefile_only
GHIZER DISTRICT,shapefile_only
GILGIT DISTRICT,shapefile_only
HATTIAN BALA DISTRICT,shapefile_only
HAVELI DISTRICT,shapefile_only
HUNZA NAGAR DISTRICT,shapefile_only
INDIAN OCCUPIED KASHMIR DISTRICT,shapefile_only
KARACHI CANTONMENT DISTRICT,shapefile_only
KORANGI CREEK CANTONMENT DISTRICT,shapefile_only
KOTLI DISTRICT,shapefile_only
LEHRI DISTRICT,shapefile_only
MALIR CANTONMENT DISTRICT,shapefile_only
MANORA CANTONMENT DISTRICT,shapefile_only
MIRPUR DISTRICT,shapefile_only
MUZAFFARABAD DISTRICT,shapefile_only
NEELUM DISTRICT,shapefile_only
POONCH DISTRICT,shapefile_only
SKARDU DISTRICT,shapefile_only
SUDHNOTI DISTRICT,shapefile_only
