district_key,u5mr_posterior_mean,u5mr_ci_lower95,u5mr_ci_upper95,u5mr_posterior_sd,province,had_direct_data,n_births_direct,ci_width,run_mode,model_version
BANNU DISTRICT,46.71328276444174,14.62436599166646,101.89577873448935,23.136253586497322,Khyber Pakhtunkhwa,True,278,87.27141274282289,normal,hazard_v1_censoring_corrected
LAKKI MARWAT DISTRICT,29.090578341456023,8.38840216744244,66.54706431965465,14.965682582424284,Khyber Pakhtunkhwa,True,316,58.158662152212216,normal,hazard_v1_censoring_corrected
DERA ISMAIL KHAN DISTRICT,87.69888215484943,47.446856399963636,140.4390465030445,24.304482814612328,Khyber Pakhtunkhwa,True,818,92.99219010308086,normal,hazard_v1_censoring_corrected
TANK DISTRICT,48.91624557240936,12.727943693359995,115.47902838274098,26.92314753324312,Khyber Pakhtunkhwa,True,446,102.75108468938099,normal,hazard_v1_censoring_corrected
ABBOTTABAD DISTRICT,33.372516665715,8.370403768954935,82.15633494311864,19.645948371294534,Khyber Pakhtunkhwa,True,401,73.78593117416371,normal,hazard_v1_censoring_corrected
BATAGRAM DISTRICT,29.069020639759458,6.145950940995312,77.29910908934353,19.195416296849054,Khyber Pakhtunkhwa,True,157,71.15315814834823,normal,hazard_v1_censoring_corrected
HARIPUR DISTRICT,87.11379418341036,42.35053159185483,148.53176921921158,27.41767290435139,Khyber Pakhtunkhwa,True,394,106.18123762735675,normal,hazard_v1_censoring_corrected
MANSEHRA DISTRICT,16.695686603829227,4.037077017350057,40.83664591992854,9.875353239972478,Khyber Pakhtunkhwa,True,359,36.799568902578486,normal,hazard_v1_censoring_corrected
TORGHAR DISTRICT,56.38141396493424,12.578527021370824,151.69068996060943,36.5134651898118,Khyber Pakhtunkhwa,True,192,139.1121629392386,normal,hazard_v1_censoring_corrected
KOHISTAN DISTRICT,37.65601905886041,6.0029308419184355,124.10847036110148,33.18767156897478,Khyber Pakhtunkhwa,False,0,118.10553951918304,normal,hazard_v1_censoring_corrected
HANGU DISTRICT,49.012599324574445,8.475160737486203,148.29003291633575,37.7897425985678,Khyber Pakhtunkhwa,True,179,139.81487217884955,normal,hazard_v1_censoring_corrected
KARAK DISTRICT,42.76743790632083,10.666774109635,107.90373094516298,25.780014375769053,Khyber Pakhtunkhwa,True,186,97.23695683552798,normal,hazard_v1_censoring_corrected
KOHAT DISTRICT,31.034223695538163,11.000315472041422,62.93137263263466,13.55422257302098,Khyber Pakhtunkhwa,True,558,51.93105716059324,normal,hazard_v1_censoring_corrected
MARDAN DISTRICT,41.996522832990244,15.203591571793893,83.85278053376447,17.776929577158977,Khyber Pakhtunkhwa,True,642,68.64918896197058,normal,hazard_v1_censoring_corrected
SWABI DISTRICT,34.24275858640182,11.895417678000447,70.51115193967527,15.250416995094024,Khyber Pakhtunkhwa,True,538,58.615734261674824,normal,hazard_v1_censoring_corrected
CHARSADDA DISTRICT,30.999310065321982,9.477806456215726,68.60266280467104,15.314784365358328,Khyber Pakhtunkhwa,True,453,59.12485634845532,normal,hazard_v1_censoring_corrected
NOWSHERA DISTRICT,35.132876389794355,14.398045396732655,66.15631808843081,13.54615779594656,Khyber Pakhtunkhwa,True,861,51.75827269169815,normal,hazard_v1_censoring_corrected
PESHAWAR DISTRICT,53.3263837690992,26.52342016391529,91.45141628638281,16.62894641800192,Khyber Pakhtunkhwa,True,2955,64.92799612246752,normal,hazard_v1_censoring_corrected
BUNER DISTRICT,40.66018184769085,11.605216088551476,95.31950013007167,21.54184877394315,Khyber Pakhtunkhwa,True,182,83.7142840415202,normal,hazard_v1_censoring_corrected
CHITRAL DISTRICT,35.7281303680093,6.785930386179059,97.65381563838835,24.259469566464663,Khyber Pakhtunkhwa,True,192,90.86788525220929,normal,hazard_v1_censoring_corrected
SHANGLA DISTRICT,45.68520201215873,13.243391287078635,103.77927276770451,23.79103528203758,Khyber Pakhtunkhwa,True,162,90.53588148062587,normal,hazard_v1_censoring_corrected
SWAT DISTRICT,29.00998840782961,7.476383690226151,69.82728605114492,16.302768325066214,Khyber Pakhtunkhwa,True,809,62.350902360918774,normal,hazard_v1_censoring_corrected
LOWER DIR DISTRICT,51.97231636987564,15.84615700717251,117.35872230043562,26.449847561572597,Khyber Pakhtunkhwa,True,366,101.51256529326311,normal,hazard_v1_censoring_corrected
UPPER DIR DISTRICT,45.21361765872478,13.161344979555322,102.71135309849784,23.329438038509387,Khyber Pakhtunkhwa,True,348,89.55000811894251,normal,hazard_v1_censoring_corrected
MALAKAND PROTECTED AREA DISTRICT,24.434976304131222,4.987534112953551,64.5298908795685,15.98653706160858,Khyber Pakhtunkhwa,True,334,59.542356766614944,normal,hazard_v1_censoring_corrected
KHYBER AGENCY DISTRICT,16.483111147796834,1.767572253878258,52.908501229042535,13.616921623458172,Fata,True,1113,51.14092897516428,normal,hazard_v1_censoring_corrected
KURRAM AGENCY DISTRICT,16.721244400329514,1.481229062109679,58.63231649111723,15.548631819167339,Fata,True,791,57.15108742900755,normal,hazard_v1_censoring_corrected
MOHMAND AGENCY DISTRICT,19.080413298355587,1.720527168464836,65.0306123396701,16.93936035041192,Fata,True,545,63.310085171205266,normal,hazard_v1_censoring_corrected
NORTH WAZIRISTAN AGENCY DISTRICT,17.042593198321153,1.742743269391092,53.19497277134751,14.222295290119275,Fata,True,1071,51.45222950195642,normal,hazard_v1_censoring_corrected
ORAKZAI AGENCY DISTRICT,29.680091715240142,2.097800639205938,116.95323150711197,31.86834425890353,Fata,True,110,114.85543086790602,normal,hazard_v1_censoring_corrected
SOUTH WAZIRISTAN A DISTRICT,19.93252383545251,1.9305021180180626,66.28243007421925,17.527244542443928,Fata,True,473,64.35192795620118,normal,hazard_v1_censoring_corrected
BAJAUR AGENCY DISTRICT,18.42387329788722,2.3757287617967857,53.288465643603594,13.689854638331278,Fata,True,605,50.91273688180681,normal,hazard_v1_censoring_corrected
FR BANNU DISTRICT,28.433619912510554,2.0502803543673895,112.32135303692164,30.10337135391123,Fata,True,656,110.27107268255425,normal,hazard_v1_censoring_corrected
FR D.I.KHAN DISTRICT,31.111196358188753,2.161017987351796,120.54046173816688,35.367546662242965,Fata,False,0,118.37944375081508,normal,hazard_v1_censoring_corrected
FR KOHAT DISTRICT,26.394949834555426,1.889691736620619,108.37418994540346,29.423070106334364,Fata,False,0,106.48449820878284,normal,hazard_v1_censoring_corrected
FR LAKKI MARWAT DISTRICT,26.8710210823153,1.937558195787048,108.796213813812,31.147503682203276,Fata,False,0,106.85865561802495,normal,hazard_v1_censoring_corrected
FR PESHAWAR DISTRICT,26.738343303735626,1.8505598652750643,104.78658109502527,29.572649484730828,Fata,False,0,102.93602122975021,normal,hazard_v1_censoring_corrected
FR TANK DISTRICT,22.654955691018994,1.7866779575136105,82.67125652072853,22.59024840218464,Fata,True,204,80.88457856321493,normal,hazard_v1_censoring_corrected
ATTOCK DISTRICT,31.8719319692415,6.987509718528551,84.72202504047029,20.465751173066348,Punjab,True,365,77.73451532194173,normal,hazard_v1_censoring_corrected
CHAKWAL DISTRICT,57.57329229082216,16.307012144888002,131.11522283818005,29.64736835721883,Punjab,True,255,114.80821069329204,normal,hazard_v1_censoring_corrected
JHELUM DISTRICT,27.45108940426339,6.655008278795027,67.82295736141026,16.150129383561392,Punjab,True,147,61.16794908261524,normal,hazard_v1_censoring_corrected
RAWALPINDI DISTRICT,39.93625904091192,19.726561569106156,68.36435738439091,12.451429140818556,Punjab,True,670,48.63779581528476,normal,hazard_v1_censoring_corrected
BHAKKAR DISTRICT,152.6482852244464,99.73137399451939,218.38627623295804,30.060238021943206,Punjab,True,403,118.65490223843865,normal,hazard_v1_censoring_corrected
KHUSHAB DISTRICT,24.04822032980846,6.1405381761403035,57.784251158778794,13.442437852806922,Punjab,True,221,51.64371298263849,normal,hazard_v1_censoring_corrected
SARGODHA DISTRICT,76.0181444165191,44.27487224662775,114.56668555370972,18.163262677796702,Punjab,True,544,70.29181330708197,normal,hazard_v1_censoring_corrected
MIANWALI DISTRICT,58.231965346853315,23.717750955936832,109.82518376512593,22.31893599688863,Punjab,True,254,86.10743280918909,normal,hazard_v1_censoring_corrected
GUJRANWALA DISTRICT,53.04987234426206,30.82411387779128,81.57222847651936,13.026793108557927,Punjab,True,633,50.74811459872808,normal,hazard_v1_censoring_corrected
GUJRAT DISTRICT,29.726903899002366,14.285758131348102,50.9337999132192,9.43855383949257,Punjab,True,796,36.64804178187109,normal,hazard_v1_censoring_corrected
HAFIZABAD DISTRICT,64.55204256441408,22.342544559267157,132.40032537071482,29.50199732704231,Punjab,True,314,110.05778081144767,normal,hazard_v1_censoring_corrected
MANDI BAHAUDDIN DISTRICT,58.335025695746296,8.812117153690622,190.27676835904043,49.95199522961216,Punjab,False,0,181.4646512053498,normal,hazard_v1_censoring_corrected
NAROWAL DISTRICT,46.88558947840695,14.184593129444972,103.0060942139482,23.073278601840055,Punjab,True,243,88.82150108450323,normal,hazard_v1_censoring_corrected
SIALKOT DISTRICT,24.67694811843327,10.369564028531604,45.38446585673931,9.097274937016154,Punjab,True,566,35.014901828207705,normal,hazard_v1_censoring_corrected
LAHORE DISTRICT,75.18965166699336,50.669257701592265,104.72430505250732,13.766302420623024,Punjab,True,1108,54.05504735091505,normal,hazard_v1_censoring_corrected
KASUR DISTRICT,74.90861228325362,40.94960751597122,120.49993496027795,20.225272461507615,Punjab,True,524,79.55032744430673,normal,hazard_v1_censoring_corrected
NANKANA SAHIB DISTRICT,28.21519329263629,6.655182431420423,69.21890296907722,16.625444162340084,Punjab,True,136,62.5637205376568,normal,hazard_v1_censoring_corrected
SHEIKHUPURA DISTRICT,19.923282833856824,5.257488737733204,45.00040909970984,10.459790062520078,Punjab,True,294,39.74292036197664,normal,hazard_v1_censoring_corrected
FAISALABAD DISTRICT,71.6224283741143,45.35862616751955,103.60791887528312,14.916736838788971,Punjab,True,916,58.249292707763566,normal,hazard_v1_censoring_corrected
