district_key,province,population_2017,u5mr_direct,u5mr_simple_pooling,u5mr_hierarchical_hazard,u5mr_ci_lower95,u5mr_ci_upper95
ABBOTTABAD DISTRICT,Khyber Pakhtunkhwa,1333089,58.29742383648651,59.51705516141297,33.372516665715,8.370403768954935,82.15633494311864
ATTOCK DISTRICT,Punjab,1886378,24.127641023660274,81.73327888055317,31.8719319692415,6.987509718528551,84.72202504047029
AWARAN DISTRICT,Balochistan,121821,250.01387044116385,106.43038458714186,45.76369299629501,7.413532962170363,150.01539560228247
BADIN DISTRICT,Sindh,1804958,136.49227918317845,59.229525512019926,115.44866715603594,69.83950340833458,171.7084270889725
BAHAWALNAGAR DISTRICT,Punjab,2975656,75.13103808287536,81.73327888055317,64.75115895988964,25.13282147507968,126.25922388418071
BAHAWALPUR DISTRICT,Punjab,3669176,126.94901440842844,81.73327888055317,107.32708093724266,70.39409947845657,151.79947431141812
BAJAUR AGENCY DISTRICT,Fata,1090987,32.56827294144016,19.15034704458557,18.42387329788722,2.3757287617967857,53.2884656436036
BANNU DISTRICT,Khyber Pakhtunkhwa,1167071,65.8466506114843,59.51705516141297,46.71328276444174,14.62436599166646,101.89577873448935
BATAGRAM DISTRICT,Khyber Pakhtunkhwa,476749,73.52941176470584,59.51705516141297,29.06902063975945,6.145950940995312,77.29910908934353
BHAKKAR DISTRICT,Punjab,1647852,159.56946295157593,81.73327888055317,152.6482852244464,99.7313739945194,218.38627623295804
BUNER DISTRICT,Khyber Pakhtunkhwa,895460,62.5,59.51705516141297,40.66018184769085,11.605216088551476,95.31950013007167
CHAKWAL DISTRICT,Punjab,1495463,115.03968493903794,81.73327888055317,57.57329229082216,16.307012144888002,131.11522283818005
CHARSADDA DISTRICT,Khyber Pakhtunkhwa,1610960,40.89386668285178,59.51705516141297,30.999310065321986,9.477806456215726,68.60266280467104
CHINIOT DISTRICT,Punjab,1368659,111.92109844740304,81.73327888055317,79.03462107600919,32.00428331167051,151.75569217814007
CHITRAL DISTRICT,Khyber Pakhtunkhwa,447625,45.20255532907292,59.51705516141297,35.7281303680093,6.785930386179059,97.65381563838837
DADU DISTRICT,Sindh,1550390,37.8424191280492,59.229525512019926,29.42765489231589,8.32080735259025,65.55389587708672
DERA BUGTI DISTRICT,Balochistan,313110,0.0,106.43038458714186,49.67305303967984,9.23776762866734,144.90504181617476
DERA GHAZI KHAN DISTRICT,Punjab,2872631,75.65150915899454,81.73327888055317,73.29812777644949,38.22044196552152,118.75178871926389
DERA ISMAIL KHAN DISTRICT,Khyber Pakhtunkhwa,1625088,98.45635921094365,59.51705516141297,87.69888215484943,47.44685639996364,140.4390465030445
FAISALABAD DISTRICT,Punjab,7882444,98.690649402273,81.73327888055317,71.6224283741143,45.35862616751955,103.60791887528312
FR BANNU DISTRICT,Fata,43112,24.19153477106906,19.15034704458557,28.433619912510554,2.050280354367389,112.32135303692164
FR TANK DISTRICT,Fata,36418,0.0,19.15034704458557,22.654955691019,1.7866779575136105,82.67125652072853
GHOTKI DISTRICT,Sindh,1648708,130.78801902471028,59.229525512019926,114.58001747593096,64.37682644938599,178.47232140949313
GUJRANWALA DISTRICT,Punjab,5011066,60.11711316947999,81.73327888055317,53.04987234426206,30.82411387779128,81.57222847651936
GUJRAT DISTRICT,Punjab,2756289,29.16715553843685,81.73327888055317,29.72690389900237,14.285758131348102,50.9337999132192
GWADAR DISTRICT,Balochistan,262253,0.0,106.43038458714186,46.80002011890859,8.484984358076263,138.93462186739572
HAFIZABAD DISTRICT,Punjab,1156954,88.71522179913771,81.73327888055317,64.55204256441408,22.34254455926716,132.40032537071482
HANGU DISTRICT,Khyber Pakhtunkhwa,518811,45.45454545454541,59.51705516141297,49.012599324574445,8.475160737486203,148.29003291633575
HARIPUR DISTRICT,Khyber Pakhtunkhwa,1001515,122.70881181379444,59.51705516141297,87.11379418341036,42.35053159185483,148.53176921921158
HYDERABAD DISTRICT,Sindh,2199928,36.23288733368702,59.229525512019926,39.362514412964856,10.4372009116137,93.93432076701316
ISLAMABAD DISTRICT,Federal Capital Territory,2003368,46.38755972815844,46.38755972815844,26.81250663793633,5.132811411537236,67.18387459819971
JACOBABAD DISTRICT,Sindh,1007009,103.17308375551649,59.229525512019926,85.88197548586159,32.37084082657616,169.1684964736303
