district_key,segment_idx,weighted_events,ppc_mean,ppc_lower95,ppc_upper95,observed_within_ppc_interval
BANNU DISTRICT,0,3.8469510000000002,1.7103333333333333,0.0,6.0,True
BANNU DISTRICT,1,0.0,0.2305,0.0,2.0,True
BANNU DISTRICT,2,0.0,0.112,0.0,1.0,True
BANNU DISTRICT,3,0.0,0.21683333333333332,0.0,1.0,True
BANNU DISTRICT,4,0.0,0.07483333333333334,0.0,1.0,True
BANNU DISTRICT,5,0.0,0.027833333333333335,0.0,1.0,True
BANNU DISTRICT,6,0.0,0.019,0.0,0.0,True
BANNU DISTRICT,7,0.0,0.0036666666666666666,0.0,0.0,True
LAKKI MARWAT DISTRICT,0,0.0,1.4496666666666667,0.0,5.0,True
LAKKI MARWAT DISTRICT,1,0.0,0.22566666666666665,0.0,2.0,True
LAKKI MARWAT DISTRICT,2,2.404285,0.12083333333333333,0.0,1.0,False
LAKKI MARWAT DISTRICT,3,0.0,0.23583333333333334,0.0,2.0,True
LAKKI MARWAT DISTRICT,4,0.0,0.0895,0.0,1.0,True
LAKKI MARWAT DISTRICT,5,0.0,0.035666666666666666,0.0,1.0,True
LAKKI MARWAT DISTRICT,6,0.0,0.030666666666666665,0.0,1.0,True
LAKKI MARWAT DISTRICT,7,0.0,0.004333333333333333,0.0,0.0,True
DERA ISMAIL KHAN DISTRICT,0,11.491416000000001,7.2075,2.0,15.0,True
DERA ISMAIL KHAN DISTRICT,1,1.170371,0.9898333333333333,0.0,3.0,True
DERA ISMAIL KHAN DISTRICT,2,0.0,0.5018333333333334,0.0,2.0,True
DERA ISMAIL KHAN DISTRICT,3,0.220356,0.9711666666666666,0.0,4.0,True
DERA ISMAIL KHAN DISTRICT,4,0.0,0.36866666666666664,0.0,2.0,True
DERA ISMAIL KHAN DISTRICT,5,0.0,0.16633333333333333,0.0,1.0,True
DERA ISMAIL KHAN DISTRICT,6,0.0,0.12883333333333333,0.0,1.0,True
DERA ISMAIL KHAN DISTRICT,7,0.0,0.027666666666666666,0.0,1.0,True
TANK DISTRICT,0,2.9326499999999998,1.1671666666666667,0.0,4.0,True
TANK DISTRICT,1,0.0,0.15933333333333333,0.0,1.0,True
TANK DISTRICT,2,0.0,0.0865,0.0,1.0,True
TANK DISTRICT,3,0.58653,0.14216666666666666,0.0,1.0,True
TANK DISTRICT,4,0.0,0.050333333333333334,0.0,1.0,True
TANK DISTRICT,5,0.0,0.020166666666666666,0.0,0.0,True
TANK DISTRICT,6,0.0,0.0185,0.0,0.0,True
TANK DISTRICT,7,0.0,0.004833333333333334,0.0,0.0,True
ABBOTTABAD DISTRICT,0,1.2642289999999998,0.785,0.0,3.0,True
ABBOTTABAD DISTRICT,1,0.0,0.10783333333333334,0.0,1.0,True
ABBOTTABAD DISTRICT,2,0.927877,0.06133333333333333,0.0,1.0,True
ABBOTTABAD DISTRICT,3,0.0,0.11333333333333333,0.0,1.0,True
ABBOTTABAD DISTRICT,4,0.0,0.0465,0.0,1.0,True
ABBOTTABAD DISTRICT,5,0.0,0.0175,0.0,0.0,True
ABBOTTABAD DISTRICT,6,0.0,0.0145,0.0,0.0,True
ABBOTTABAD DISTRICT,7,0.0,0.0023333333333333335,0.0,0.0,True
BATAGRAM DISTRICT,0,0.913596,0.4668333333333333,0.0,2.0,True
BATAGRAM DISTRICT,1,0.913596,0.056666666666666664,0.0,1.0,True
BATAGRAM DISTRICT,2,0.0,0.03,0.0,1.0,True
BATAGRAM DISTRICT,3,0.0,0.06,0.0,1.0,True
BATAGRAM DISTRICT,4,0.0,0.020666666666666667,0.0,0.0,True
BATAGRAM DISTRICT,5,0.0,0.009333333333333334,0.0,0.0,True
BATAGRAM DISTRICT,6,0.0,0.0095,0.0,0.0,True
BATAGRAM DISTRICT,7,0.0,0.0026666666666666666,0.0,0.0,True
HARIPUR DISTRICT,0,8.190493,5.253333333333333,1.0,12.0,True
HARIPUR DISTRICT,1,0.0,0.7255,0.0,3.0,True
HARIPUR DISTRICT,2,0.0,0.383,0.0,2.0,True
HARIPUR DISTRICT,3,0.0,0.7198333333333333,0.0,3.0,True
HARIPUR DISTRICT,4,0.0,0.2638333333333333,0.0,2.0,True
HARIPUR DISTRICT,5,1.781037,0.106,0.0,1.0,False
HARIPUR DISTRICT,6,0.0,0.078,0.0,1.0,True
HARIPUR DISTRICT,7,0.0,0.014,0.0,0.0,True
MANSEHRA DISTRICT,0,0.0,1.0081666666666667,0.0,4.0,True
MANSEHRA DISTRICT,1,0.0,0.13183333333333333,0.0,1.0,True
MANSEHRA DISTRICT,2,0.346001,0.07416666666666667,0.0,1.0,True
MANSEHRA DISTRICT,3,0.0,0.14133333333333334,0.0,1.0,True
MANSEHRA DISTRICT,4,0.0,0.05333333333333334,0.0,1.0,True
MANSEHRA DISTRICT,5,0.0,0.0205,0.0,0.0,True
MANSEHRA DISTRICT,6,0.0,0.017,0.0,0.0,True
MANSEHRA DISTRICT,7,0.0,0.006333333333333333,0.0,0.0,True
TORGHAR DISTRICT,0,1.258332,0.55,0.0,3.0,True
TORGHAR DISTRICT,1,0.0,0.07416666666666667,0.0,1.0,True
TORGHAR DISTRICT,2,0.0,0.035666666666666666,0.0,1.0,True
TORGHAR DISTRICT,3,0.0,0.0625,0.0,1.0,True
TORGHAR DISTRICT,4,0.419444,0.028333333333333332,0.0,1.0,True
TORGHAR DISTRICT,5,0.0,0.009166666666666667,0.0,0.0,True
TORGHAR DISTRICT,6,0.0,0.010833333333333334,0.0,0.0,True
TORGHAR DISTRICT,7,0.0,0.0025,0.0,0.0,True
KOHISTAN DISTRICT,0,0.0,0.0,0.0,0.0,True
KOHISTAN DISTRICT,1,0.0,0.0,0.0,0.0,True
