district_key,province,population_2017,population_under5,deprivation_index,mortality_estimate_per1000,mortality_lower95,mortality_upper95,estimate_type,estimate_source
BANNU DISTRICT,Khyber Pakhtunkhwa,1167071,191230.0,0.6245460472990826,90.42388615305973,58.77552599948882,122.07224630663063,proxy,Deprivation-index-calibrated proxy (NOT PDHS-derived). See docs/LIMITATIONS.md.
LAKKI MARWAT DISTRICT,Khyber Pakhtunkhwa,875744,153713.0,0.7225417236153363,89.60955057517579,58.246207873864265,120.97289327648731,proxy,Deprivation-index-calibrated proxy (NOT PDHS-derived). See docs/LIMITATIONS.md.
DERA ISMAIL KHAN DISTRICT,Khyber Pakhtunkhwa,1625088,258104.0,0.6730170706775126,97.57491512938006,63.42369483409704,131.72613542466308,proxy,Deprivation-index-calibrated proxy (NOT PDHS-derived). See docs/LIMITATIONS.md.
TANK DISTRICT,Khyber Pakhtunkhwa,390626,67978.0,0.6677629671560974,98.42108827003612,63.97370737552348,132.86846916454877,proxy,Deprivation-index-calibrated proxy (NOT PDHS-derived). See docs/LIMITATIONS.md.
ABBOTTABAD DISTRICT,Khyber Pakhtunkhwa,1333089,165094.0,0.4081307736726731,56.689472469638716,36.848157105265166,76.53078783401227,proxy,Deprivation-index-calibrated proxy (NOT PDHS-derived). See docs/LIMITATIONS.md.
BATAGRAM DISTRICT,Khyber Pakhtunkhwa,476749,78239.0,0.6682203223371503,83.20930274230159,54.086046782496034,112.33255870210715,proxy,Deprivation-index-calibrated proxy (NOT PDHS-derived). See docs/LIMITATIONS.md.
HARIPUR DISTRICT,Khyber Pakhtunkhwa,1001515,127594.0,0.4443471061658021,73.9042147559383,48.037739591359895,99.7706899205167,proxy,Deprivation-index-calibrated proxy (NOT PDHS-derived). See docs/LIMITATIONS.md.
MANSEHRA DISTRICT,Khyber Pakhtunkhwa,1555742,217933.0,0.5958153710051476,83.75925289780878,54.4435143835757,113.07499141204185,proxy,Deprivation-index-calibrated proxy (NOT PDHS-derived). See docs/LIMITATIONS.md.
TORGHAR DISTRICT,Khyber Pakhtunkhwa,171349,29389.0,0.8373414961011458,106.32517528787581,69.11136393711928,143.53898663863234,proxy,Deprivation-index-calibrated proxy (NOT PDHS-derived). See docs/LIMITATIONS.md.
KOHISTAN DISTRICT,Khyber Pakhtunkhwa,784711,124502.0,0.7945503356076928,97.00147580946113,63.05095927614973,130.9519923427725,proxy,Deprivation-index-calibrated proxy (NOT PDHS-derived). See docs/LIMITATIONS.md.
HANGU DISTRICT,Khyber Pakhtunkhwa,518811,82717.0,0.7567585520970254,105.56977914762197,68.62035644595429,142.51920184928966,proxy,Deprivation-index-calibrated proxy (NOT PDHS-derived). See docs/LIMITATIONS.md.
KARAK DISTRICT,Khyber Pakhtunkhwa,705362,111397.0,0.4194626371921021,76.2087053125531,49.53565845315952,102.88175217194669,proxy,Deprivation-index-calibrated proxy (NOT PDHS-derived). See docs/LIMITATIONS.md.
KOHAT DISTRICT,Khyber Pakhtunkhwa,992427,141253.0,0.6206079518456065,88.46608064060041,57.50295241639027,119.42920886481055,proxy,Deprivation-index-calibrated proxy (NOT PDHS-derived). See docs/LIMITATIONS.md.
MARDAN DISTRICT,Khyber Pakhtunkhwa,2373399,346965.0,0.5009757100037614,85.51357154800992,55.58382150620645,115.4433215898134,proxy,Deprivation-index-calibrated proxy (NOT PDHS-derived). See docs/LIMITATIONS.md.
